I-88	Illinois	Aurora, DeKalb, Dixon, Downers Grove, Lisle, Naperville, North Aurora, Oak Brook, Rochelle, Warrenville
I-88	New York	Oneonta
I-89	Vermont	Lebanon, Montpelier, South Burlington, Winooski
I-89	New Hampshire	Concord, Lebanon
I-90	Montana	Anaconda-Deer Lodge County, Billings, Bonner-West Riverside, Bozeman, Butte-Silver Bow, Livingston, Missoula, St. Regis
I-90	South Dakota	Brandon, Mitchell, Rapid City, Sioux Falls, Spearfish
I-90	New York	Albany, Amsterdam, Dunkirk, Hamburg, Herkimer, Lackawanna, Mattydale, Oneida, Rensselaer, Utica, West Seneca, Williamsville
I-90	Washington	Bellevue, Dishman, Ellensburg, Green Acres, Issaquah, Mercer Island, Moses Lake, Opportunity, Seattle, Spokane, Veradale, West Lake Sammamish
I-90	Minnesota	Albert Lea, Austin, Fairmont, Worthington
I-90	Ohio	Avon, Cleveland, Conneaut, Elyria, Euclid, Lakewood, Mentor, Rocky River, Westlake, Wickliffe, Willoughby, Willoughby Hills
I-90	Wyoming	Gillette, Sheridan
I-90	Indiana	Chicago, East Chicago, Gary, Hammond, Lake Station
I-90	Massachusetts	Boston, Brookline, Chicopee, Cochituate, Framingham, Newton, West Springfield, Westfield
I-90	Illinois	Belvidere, Chicago, Des Plaines, Elgin, Elk Grove Village, Hoffman Estates, Loves Park, Machesney Park, Rockford, Rolling Meadows, Schaumburg
I-90	Wisconsin	Beloit, DeForest, Janesville, La Crosse, Madison, Onalaska, Sparta, Tomah
I-90	Idaho	Couer D'Alene, Ports Falls
I-90	Pennsylvania	Conneaut
I-91	Vermont	Brattleboro, Saint Johnsbury
I-91	Connecticut	Hartford, Longmeadow, Meriden, Middletown, New Haven, North Haven, Sherwood Manor, Southwood Acres, Thompsonville, Wallingford Center, Wethersfield, Windsor Locks
I-91	Massachusetts	Chicopee, Easthampton, Greenfield, Holyoke, Longmeadow, Northampton, Springfield, West Springfield
I-93	New Hampshire	Concord, Derry, Londonderry, Manchester, Methuen, South Hooksett
I-93	Massachusetts	Boston, Braintree, Medford, Methuen, Milton, Quincy, Randolph, Reading, Somerville, Stoneham, Wilmington, Woburn
I-93	Vermont	Saint Johnsbury
